Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	rate_neo	root_freqs[1]	root_freqs[2]	tree_length
0	-1534.526	-1882.341	347.8143	1.800951	8.003748	19.40308	0.954347	0.045653	0.4958201
6	-1533.959	-1881.994	348.0345	1.684671	7.452112	19.40308	0.964367	0.0356332	0.5462566
12	-1539.417	-1887.469	348.0518	1.655833	7.452112	19.40308	0.957084	0.0429159	0.5933656
18	-1529.442	-1879.202	349.7605	1.694064	7.452112	6.550735	0.965941	0.0340594	0.5818962
24	-1528.499	-1878.191	349.6917	1.72685	7.452112	6.550735	0.965941	0.0340594	0.6714291
30	-1550.91	-1899.111	348.2016	1.509408	8.181977	17.35493	0.972654	0.0273458	0.6998612
36	-1530.073	-1878.452	348.3783	1.573964	6.999814	17.35493	0.965772	0.0342281	0.6885675
42	-1535.686	-1886.095	350.4084	1.699945	5.758683	5.103159	0.947197	0.0528032	0.7529527
48	-1522.005	-1866.675	344.6694	1.456128	5.758683	128.1305	0.957135	0.0428647	0.9351201
54	-1531.623	-1880.877	349.254	1.430728	5.854776	11.72284	0.952665	0.0473349	0.9297793
60	-1526.551	-1875.295	348.7435	1.521237	8.674984	11.72284	0.96635	0.0336497	0.7161877
66	-1522.757	-1872.088	349.3305	1.640472	8.674984	7.436869	0.956616	0.0433836	0.7211217
72	-1533.873	-1879.622	345.7486	1.470495	8.674984	61.61297	0.956616	0.0433836	0.749182
78	-1524.032	-1870.028	345.9961	1.567359	7.185823	61.61297	0.968512	0.0314883	0.6448843
84	-1523.283	-1867.701	344.4177	1.63049	6.871439	130.5881	0.970199	0.0298006	0.6110653
90	-1520.094	-1864.951	344.8571	1.718157	4.74717	130.5881	0.96742	0.0325804	0.6212972
96	-1507.714	-1854.736	347.0212	1.628959	5.489924	40.19399	0.961345	0.0386555	0.8696735
102	-1519.948	-1870.729	350.7816	1.551588	7.17982	3.180791	0.961345	0.0386555	0.8696735
108	-1522.761	-1873.484	350.7232	1.593432	7.17982	3.180791	0.974427	0.0255735	0.8889011
114	-1515.925	-1865.486	349.561	1.620384	5.649736	9.278863	0.973099	0.0269007	0.8443221
120	-1514.177	-1865.158	350.981	1.761307	5.460832	3.39968	0.946659	0.0533407	0.7424853
126	-1527.47	-1879.568	352.0985	1.770407	5.460832	1.077735	0.946659	0.0533407	0.9914029
132	-1534.308	-1886.327	352.0181	1.712251	5.160976	1.077735	0.962695	0.0373054	1.193408
138	-1531.05	-1883.082	352.0326	1.754213	5.160976	1.077735	0.956236	0.0437638	1.144046
144	-1527.567	-1878.851	351.2831	1.395415	6.989495	1.922767	0.960622	0.0393782	1.177004
150	-1518.443	-1869.742	351.2994	1.586019	6.070935	1.922767	0.948574	0.0514264	1.177004
156	-1521.709	-1872.722	351.0129	1.504974	6.762955	2.758749	0.944343	0.055657	0.9634728
162	-1520.148	-1871.122	350.974	1.543893	6.762955	2.758749	0.944343	0.055657	0.9634728
168	-1521.109	-1872.105	350.9961	1.717698	6.390695	2.623127	0.944737	0.0552627	0.9100985
174	-1523.758	-1874.568	350.8106	1.561601	6.390695	3.298864	0.967747	0.0322534	0.9642791
180	-1527.532	-1875.387	347.8546	1.365003	5.834023	22.61419	0.939391	0.0606088	1.258721
186	-1537.173	-1885.732	348.5591	1.131707	6.509808	15.71942	0.949395	0.0506052	1.258721
192	-1548.38	-1896.258	347.8774	1.426274	3.476937	33.06613	0.969806	0.030194	1.203102
198	-1533.824	-1879.42	345.5961	1.64753	5.142474	88.07253	0.956783	0.0432167	0.7570789
204	-1528.254	-1874.222	345.9678	1.636372	5.271498	76.12129	0.955434	0.0445665	0.5750842
210	-1525.337	-1870.819	345.4823	1.651163	7.310265	76.12129	0.953918	0.0460824	0.5499619
